client_id,age,income,credit_score,loan_amount,loan_term_months,interest_rate,employment_status,has_default_history,default
52,35,62929,323,41697,12,22.78,employed,0,1
53,21,147309,703,39115,60,9.45,employed,0,0
54,42,87444,815,8269,36,10.16,employed,0,0
55,31,28567,663,29064,36,31.36,employed,0,1
56,67,121834,681,14527,60,21.75,self-employed,0,0
57,26,90792,831,3454,12,31.1,employed,0,1
58,43,85441,451,21878,24,16.15,employed,0,1
59,70,104555,719,13991,36,23.43,self-employed,0,0
60,19,93698,549,3808,24,20.71,employed,0,1
61,37,144450,416,40410,48,14.57,employed,0,1
62,45,137248,811,37593,12,19.1,employed,0,0
63,64,25415,634,37304,48,20.07,employed,0,0
64,24,56159,717,31386,48,11.02,unemployed,1,1
65,61,63925,594,49077,48,14.45,employed,0,1
66,25,146523,670,4802,12,28.74,self-employed,0,1
67,64,25951,485,29753,12,32.47,employed,0,1
68,52,107388,545,22083,60,15.79,employed,0,1
69,31,28007,567,19354,24,14.21,employed,0,1
70,34,146730,536,23190,24,10.86,employed,0,1
71,53,61832,829,7142,60,25.35,employed,0,1
72,67,78596,320,29398,60,14.69,employed,0,1
73,57,141101,819,42862,48,34.63,employed,0,1
74,21,50523,399,34132,60,14.77,employed,0,1
75,19,108861,777,20503,36,16.82,employed,0,0
76,23,144194,597,49456,24,23.1,unemployed,0,1
77,71,106740,825,35631,60,29.05,employed,0,1
78,59,35524,633,17499,36,19.09,employed,0,0
79,21,149028,301,40852,36,17.68,employed,0,1
80,71,39282,674,9016,36,34.87,employed,1,1
81,46,43930,592,3384,36,5.31,self-employed,1,1
82,35,20077,617,16072,48,31.85,employed,0,1
83,43,125881,801,37703,36,9.47,self-employed,0,0
84,61,145501,680,46895,48,28.58,employed,0,1
85,51,40611,313,15482,48,23.54,self-employed,0,1
86,27,36984,803,41510,36,15.26,employed,0,0
87,53,34060,530,49933,24,31.22,unemployed,0,1
88,31,102985,383,22826,36,5.39,employed,1,1
89,48,104056,429,3490,36,11.8,employed,0,1
90,65,145329,444,47092,36,22.01,employed,0,1
91,32,63303,327,26518,24,15.55,employed,0,1
92,25,79207,365,25045,12,23.31,unemployed,0,1
93,31,95046,462,27910,12,5.72,employed,0,1
94,40,49287,528,25566,48,8.49,employed,0,1
95,74,113709,560,34905,48,8.81,employed,0,1
96,57,59711,748,28103,24,10.68,employed,0,0
97,38,31954,723,37188,60,18.78,employed,1,1
98,33,93340,759,6845,12,27.56,self-employed,0,1
99,62,92101,600,22162,48,32.17,employed,0,1
100,35,91520,602,37674,12,30.06,unemployed,0,1
101,64,107062,586,20337,24,10.91,employed,0,1
102,70,122974,694,23313,24,18.23,employed,0,0
103,41,38574,309,27943,60,10.98,self-employed,1,1
104,43,29184,569,13413,60,12.93,employed,0,1
105,42,39096,660,1276,24,20.11,employed,1,1
106,62,87728,556,18611,48,7.04,employed,0,1
107,58,54016,432,40105,12,11.55,employed,0,1
108,46,31246,575,12944,36,33.06,employed,1,1
109,32,65558,812,16906,60,18.98,unemployed,0,0
110,62,138721,612,21536,36,18.36,employed,0,0
111,18,38381,583,28810,48,5.44,employed,0,1
112,42,147796,420,13306,60,12.42,self-employed,0,1
113,24,56455,406,11503,36,30.99,unemployed,0,1
114,26,112263,503,20225,48,9.94,employed,1,1
115,41,24018,464,37976,12,17.45,employed,0,1
116,18,31302,604,12590,48,5.43,employed,0,0
117,61,87506,796,11886,60,19.35,unemployed,1,1
118,25,61157,455,13866,24,5.63,unemployed,0,1
119,41,74917,666,2088,12,29.59,employed,0,1
120,28,112738,550,4363,36,29.75,employed,0,1
121,68,116646,633,33792,60,28.63,employed,0,1
122,34,103122,810,10764,24,13.5,self-employed,0,0
123,25,44519,592,21620,48,30.12,employed,1,1
124,52,116809,319,43727,24,21.29,self-employed,0,1
125,52,107487,581,13935,60,16.21,unemployed,0,1
126,50,76819,300,9068,60,23.76,employed,0,1
127,22,100910,418,8295,24,5.37,employed,0,1
128,59,140430,334,42160,48,9.29,employed,0,1
129,56,91324,497,12390,24,27.27,employed,0,1
130,58,25408,784,42216,60,12.32,employed,0,0
131,45,79379,358,21131,60,22.94,employed,1,1
132,24,45053,460,30218,36,16.55,self-employed,0,1
133,26,29446,505,11433,36,30.64,unemployed,0,1
134,25,20922,311,16038,12,33.57,employed,1,1
135,29,118723,789,29182,60,31.51,employed,0,1
136,51,71356,575,12528,36,13.12,employed,0,1
137,50,30789,541,22281,24,10.82,self-employed,0,1
138,65,117720,515,49511,48,19.23,self-employed,0,1
139,72,86656,550,9605,24,5.22,employed,0,1
140,40,64028,425,35782,48,5.77,employed,0,1
141,41,84484,516,2381,36,21.6,employed,0,1
142,54,52154,605,2098,12,20.61,employed,0,0
143,52,102870,484,20810,24,34.84,employed,0,1
144,61,22336,338,25322,24,11.06,self-employed,0,1
145,57,123677,522,42869,24,12.74,unemployed,0,1
146,39,87779,483,33955,48,8.41,employed,1,1
147,44,39029,794,45716,36,32.53,self-employed,1,1
148,52,79201,726,11207,24,28.33,unemployed,0,1
149,18,52265,477,22793,24,29.67,employed,0,1
150,52,122916,727,3092,12,32.08,employed,0,1
151,54,132250,593,29220,12,20.75,unemployed,0,1
152,64,136553,450,19514,36,18.54,employed,0,1
153,31,63872,683,39010,36,14.91,unemployed,0,0
154,20,66197,607,9549,60,22.68,unemployed,0,0
155,18,145733,635,23031,12,18.63,self-employed,0,0
156,22,75180,674,6185,60,18.55,self-employed,1,1
157,43,43710,307,16271,48,33.11,self-employed,0,1
158,72,49486,640,6776,60,34.52,self-employed,0,1
159,31,91907,428,13449,24,28.89,employed,0,1
160,56,148876,651,25297,60,27.7,employed,0,1
161,44,91895,657,41591,36,25.42,employed,0,1
162,26,84435,816,16717,48,9.98,self-employed,0,0
163,32,60631,794,41123,24,6.77,employed,0,0
164,32,149038,385,40233,60,25.72,employed,0,1
165,43,121532,474,46505,48,26.86,employed,1,1
166,59,40103,492,47092,48,6.41,self-employed,1,1
167,30,84772,610,11350,24,32.84,unemployed,1,1
168,68,146108,418,31622,60,7.73,unemployed,0,1
169,49,34382,517,36323,48,13.58,employed,0,1
170,56,104291,726,3951,48,25.17,unemployed,0,1
171,66,121195,713,18622,12,10.1,self-employed,0,0
172,69,23756,413,5727,48,6.66,employed,0,1
173,49,40609,444,39454,12,14.93,employed,1,1
174,21,134074,837,37469,60,27.98,employed,0,1
175,47,36478,602,36548,60,17.41,unemployed,0,0
176,54,120978,644,24782,60,24.59,employed,0,0
177,40,59666,300,29454,36,22.39,employed,1,1
178,56,95683,446,3368,60,5.67,self-employed,0,1
179,62,119097,586,16592,48,34.66,employed,1,1
180,32,144714,352,23173,24,6.24,employed,1,1
181,60,120420,603,34204,12,34.03,employed,1,1
182,46,91315,368,36596,36,21.5,employed,0,1
183,53,97834,660,35324,60,33.89,self-employed,0,1
184,30,146205,519,47132,60,8.44,employed,0,1
185,49,34153,460,24864,24,19.71,employed,0,1
186,24,129415,388,48829,24,10.09,employed,0,1
187,68,96325,458,31750,36,6.53,employed,0,1
188,39,129701,788,11576,12,23.53,employed,1,1
189,45,32999,623,17566,60,11.23,self-employed,0,0
190,19,75318,680,8190,36,22.63,self-employed,1,1
191,59,20814,401,24071,48,8.37,self-employed,0,1
192,62,135033,793,39333,48,14.96,unemployed,0,0
193,74,96077,318,16369,36,28.45,employed,1,1
194,70,110474,753,25035,60,18.11,employed,0,0
195,23,22443,781,2589,36,23.83,unemployed,0,0
196,45,95993,696,26235,60,24.42,employed,0,0
197,45,95916,578,1159,24,30.31,employed,0,1
198,61,93319,664,13145,36,14.75,employed,0,0
199,61,145885,630,16373,60,25.62,employed,0,1
200,37,129777,643,32921,36,33.85,employed,0,1
201,47,37368,754,40323,36,26.91,unemployed,0,1
202,28,35328,364,17237,60,19.7,employed,0,1
203,72,76942,375,42971,60,23.92,employed,0,1
204,45,111751,442,9244,12,27.19,unemployed,0,1
205,42,119131,772,15743,36,23.37,unemployed,1,1
206,56,47306,716,32566,48,5.5,employed,0,0
207,50,105451,604,47101,36,10.84,employed,0,0
208,18,59915,796,47109,36,29.31,self-employed,0,1
209,74,57219,590,19691,60,13.18,self-employed,1,1
210,44,100879,401,34996,36,26.95,self-employed,0,1
211,74,131939,566,6590,36,16.16,unemployed,0,1
212,69,84644,302,6585,48,20.66,self-employed,0,1
213,30,80279,384,10227,60,7.04,employed,0,1
214,58,73028,627,29278,36,10.44,self-employed,0,0
215,20,124263,749,39814,24,33.72,employed,0,1
216,56,20126,753,13237,12,31.7,self-employed,0,1
217,23,72329,520,16649,48,24.57,employed,1,1
218,25,47632,453,38713,36,18.79,employed,0,1
219,44,127099,311,8927,24,25.27,employed,0,1
220,26,85310,432,46409,36,23.56,employed,0,1
221,54,129945,603,49766,36,22.06,employed,1,1
222,50,75176,592,47154,60,6.78,employed,1,1
223,68,139797,599,8016,60,23.98,employed,0,1
224,59,106066,342,15027,60,28.07,self-employed,0,1
225,61,125500,642,49688,24,34.82,employed,0,1
226,41,146413,625,25142,36,5.33,self-employed,0,0
227,32,64327,797,47520,12,26.91,self-employed,0,1
228,71,88904,663,24545,48,22.15,self-employed,0,0
229,49,23797,726,32897,60,18.02,employed,0,0
230,49,67882,320,4167,60,8.83,unemployed,0,1
231,41,33718,706,45757,36,17.27,employed,0,0
232,58,54560,635,27917,36,15.63,employed,0,0
233,69,96589,416,23736,24,14.08,employed,0,1
234,66,42116,423,28990,24,26.93,employed,0,1
235,66,56244,698,15087,60,26.02,unemployed,0,1
236,69,121721,350,23440,36,22.67,employed,0,1
237,29,21645,623,36205,12,33.16,self-employed,0,1
238,56,67523,440,16275,48,15.5,self-employed,0,1
239,19,144085,769,6276,36,12.31,employed,0,0
240,20,137718,633,42627,36,24.68,employed,0,0
241,66,39256,672,41586,24,10.96,employed,0,0
242,54,121376,793,38496,48,14.45,employed,0,0
243,66,120158,838,20008,60,11.74,employed,1,1
244,73,73173,455,6738,36,7.07,unemployed,0,1
245,34,57430,590,33402,60,29.82,unemployed,1,1
246,66,59282,443,6793,36,12.64,employed,0,1
247,19,139719,405,38291,60,19.19,employed,1,1
248,19,83374,719,6571,48,6.3,self-employed,0,0
249,45,88244,301,32331,24,25.98,employed,0,1
250,71,31694,389,17209,48,14.92,unemployed,0,1
251,40,76264,644,49014,12,27.34,employed,0,1
252,54,95060,649,26394,24,17.37,employed,1,1
253,49,117416,758,44148,48,10.87,self-employed,0,0
254,50,77545,562,26682,12,20.4,employed,0,1
255,18,138195,650,3224,36,8.92,unemployed,0,0
256,36,59224,407,42157,36,18.22,unemployed,0,1
257,19,122516,338,49695,60,14.52,employed,1,1
258,70,117945,458,45452,24,32.36,employed,0,1
259,61,33224,611,44408,36,6.83,unemployed,0,0
260,43,60738,540,33441,24,25.82,unemployed,0,1
261,49,45150,744,42430,36,10.48,employed,1,1
262,23,83731,597,40129,60,14.57,self-employed,0,1
263,49,69688,335,35716,48,17.47,employed,0,1
264,72,119929,383,45859,60,32.24,employed,0,1
265,21,128618,751,27586,12,12.28,unemployed,0,0
266,72,93509,684,45760,36,7.74,employed,0,0
267,28,28577,471,24478,12,14.56,unemployed,1,1
268,73,28070,675,7318,12,8.14,employed,0,0
269,34,146161,661,29694,24,8.86,employed,1,1
270,55,28666,440,21180,36,22.22,employed,0,1
271,41,77761,417,13180,12,6.83,employed,0,1
272,22,141178,576,34002,48,5.93,self-employed,1,1
273,69,56368,519,16372,12,26.43,employed,0,1
274,51,26783,325,30796,48,15.85,employed,0,1
275,23,131530,820,25427,24,8.76,employed,0,0
276,39,61914,309,34290,12,12.61,employed,0,1
277,28,90507,677,29099,60,24.26,self-employed,0,0
278,65,147738,451,46486,24,13.27,employed,0,1
279,33,99026,348,10821,48,19.84,employed,1,1
280,50,135893,453,6832,24,8.65,employed,1,1
281,26,131255,592,13820,12,22.64,employed,0,1
282,23,130616,349,17211,36,14.48,employed,1,1
283,33,87526,830,40890,36,23.81,employed,1,1
284,46,90835,359,6842,48,29.25,employed,0,1
285,20,65765,466,2316,48,23.35,self-employed,0,1
286,37,39956,501,46968,36,13.87,self-employed,0,1
287,53,107895,445,18508,48,12.67,employed,0,1
288,36,66240,738,23005,24,14.82,employed,0,0
289,43,141008,541,16206,60,9.94,employed,1,1
290,20,57148,782,19971,60,10.44,employed,0,0
291,36,114270,407,26599,24,28.72,employed,0,1
292,37,147978,525,23056,60,16.54,employed,0,1
293,49,24757,731,2378,12,18.08,employed,0,0
294,24,39097,718,2519,24,22.82,employed,0,0
295,69,30395,754,23161,48,22.69,employed,0,0
296,58,36241,459,41703,24,7.02,employed,0,1
297,50,123892,822,39861,36,29.95,employed,0,1
298,57,47696,376,6355,48,10.32,employed,0,1
299,56,135654,808,10083,36,26.69,employed,0,1
300,35,90480,740,39342,48,28.18,employed,0,1
301,57,66163,553,21456,60,26.45,employed,0,1
302,18,39816,619,14324,24,22.37,employed,0,0
303,28,69840,562,3257,12,5.44,employed,0,1
304,45,122547,673,28364,48,15.81,employed,0,0
305,74,72853,466,25972,48,23.15,employed,1,1
306,42,44917,758,47179,36,16.62,employed,0,0
307,67,116731,579,27654,60,30.9,self-employed,0,1
308,40,41566,601,16233,36,14.26,employed,1,1
309,48,95452,830,16887,36,13.81,employed,0,0
310,47,82823,517,30320,60,12.98,unemployed,0,1
311,59,141392,401,21808,12,14.98,employed,1,1
312,52,40806,587,31154,36,21.72,employed,0,1
313,24,95520,466,35773,36,26.21,unemployed,0,1
314,33,21759,335,28747,48,24.88,self-employed,1,1
315,43,146092,652,11860,60,29.23,employed,0,1
316,65,61949,372,43838,24,31.58,employed,0,1
317,74,112374,652,43156,12,29.48,employed,0,1
318,69,22482,369,19156,12,5.57,employed,0,1
319,66,44442,724,21360,60,27.08,employed,0,1
320,19,53719,816,19135,48,11.25,employed,0,0
321,18,78066,727,26351,48,8.99,employed,1,1
322,65,113501,838,31499,60,24.15,unemployed,1,1
323,29,22079,459,48377,48,14.59,unemployed,1,1
324,22,22717,448,24554,12,6.71,employed,0,1
325,54,79676,529,20604,12,9.13,employed,0,1
326,49,47952,366,17923,24,5.03,employed,1,1
327,72,106444,680,48591,60,32.1,unemployed,1,1
328,26,62460,357,9547,36,5.74,employed,0,1
329,58,110397,558,45283,36,11.28,employed,0,1
330,52,92847,641,34002,24,17.49,employed,0,0
331,36,113607,429,15562,24,15.7,employed,0,1
332,65,109106,471,8480,48,32.35,employed,0,1
333,33,38449,508,27672,24,6.21,self-employed,1,1
334,20,53536,653,5213,24,20.37,self-employed,0,0
335,37,84077,770,11293,36,25.41,employed,0,1
336,41,58258,415,35441,48,32.95,employed,0,1
337,71,68302,563,3100,24,23.61,employed,0,1
338,73,145937,741,45617,24,29.11,unemployed,0,1
339,50,48865,847,29172,48,7.51,unemployed,0,0
340,41,26645,752,21132,60,16.58,unemployed,0,0
341,69,139771,776,19199,48,16.22,unemployed,0,0
342,28,58000,586,37609,36,31.59,employed,0,1
343,66,46737,602,43965,60,9.54,employed,0,0
344,25,31485,610,9016,12,9.56,employed,0,0
345,53,58565,507,40779,48,14.86,unemployed,1,1
346,55,45522,745,38261,36,6.63,employed,0,0
347,57,139614,354,32881,60,10.47,employed,1,1
348,37,85155,311,18058,48,33.96,self-employed,0,1
349,52,75168,699,25472,24,17.85,employed,1,1
350,65,72487,814,42346,48,23.96,employed,1,1
351,42,149948,841,35926,12,26.78,self-employed,0,1
352,52,32342,536,35832,48,16.01,employed,0,1
353,42,60806,578,37021,60,9.42,employed,0,1
354,46,68770,647,25087,60,11.2,self-employed,1,1
355,35,98623,403,13828,48,14.4,employed,0,1
356,63,123177,816,32128,60,24.08,unemployed,0,0
357,35,119785,547,2401,24,16.95,employed,0,1
358,19,95629,663,20643,48,5.2,employed,1,1
359,71,140993,620,16193,24,20.7,self-employed,0,0
360,52,72603,585,27853,24,32.65,employed,0,1
361,33,146944,448,45864,36,29.36,employed,0,1
362,58,132726,383,21307,48,29.76,self-employed,0,1
363,53,101974,705,37982,60,28.85,employed,0,1
364,50,125947,755,20611,24,14.71,employed,0,0
365,21,46399,460,44791,36,27.96,employed,0,1
366,50,148177,759,12950,48,9.29,employed,1,1
367,31,105382,849,11704,48,24.73,employed,0,0
368,38,101244,799,44111,12,24.25,employed,0,0
369,65,129575,808,12867,12,5.77,self-employed,0,0
370,37,135520,780,3745,24,28.64,unemployed,0,1
371,73,130904,413,4866,12,32.1,employed,0,1
372,25,96534,660,33245,24,13.02,employed,0,0
373,24,75106,640,45724,60,29.37,employed,0,1
374,20,132599,748,6818,24,7.47,employed,0,0
375,34,50678,479,49861,12,23.0,self-employed,0,1
376,50,96218,706,31116,60,19.57,self-employed,1,1
377,65,83230,495,16493,12,21.38,self-employed,0,1
378,29,134684,765,29038,24,32.79,employed,1,1
379,68,94055,610,21447,36,31.14,employed,0,1
380,39,76373,561,31431,48,28.55,employed,0,1
381,72,51480,718,18908,12,13.21,employed,0,0
382,39,105230,705,30336,24,32.35,employed,1,1
383,63,88836,442,41992,60,7.93,unemployed,0,1
384,47,92258,641,5025,12,30.6,employed,0,1
385,55,59986,615,21093,12,14.84,self-employed,0,0
386,55,44160,400,7155,48,6.61,employed,0,1
387,62,105595,543,47607,24,25.08,employed,0,1
388,68,121358,789,34487,36,11.94,employed,0,0
389,71,99111,311,48658,60,12.31,employed,0,1
390,25,84929,538,21963,24,14.18,employed,1,1
391,44,93506,341,21936,60,6.91,employed,0,1
392,44,54911,728,5426,12,10.31,unemployed,0,0
393,51,107127,457,24303,48,5.15,employed,0,1
394,38,51821,515,46280,48,18.36,employed,1,1
395,47,95039,761,28606,36,7.53,unemployed,1,1
396,50,80535,433,48832,48,25.48,self-employed,1,1
397,45,133453,366,29151,12,12.07,self-employed,0,1
398,64,104458,306,14767,36,33.31,employed,1,1
399,50,32175,825,12308,24,31.14,unemployed,0,1
400,22,139235,372,45245,48,13.68,employed,0,1
401,65,74771,698,46671,36,28.5,employed,0,1
402,36,126660,704,25770,12,29.1,employed,0,1
403,21,147157,429,29572,60,34.6,employed,1,1
404,52,141300,765,42448,60,22.94,employed,0,0
405,66,106925,505,3204,12,7.46,employed,0,1
406,34,133374,565,28233,12,24.41,employed,0,1
407,61,86358,836,22729,60,23.75,employed,0,0
408,45,37327,552,32131,36,24.15,employed,0,1
409,47,67057,588,34870,60,14.21,unemployed,0,1
410,46,26150,463,39011,12,30.79,unemployed,1,1
411,63,24425,394,40382,48,33.78,employed,0,1
412,70,143654,409,42475,24,11.53,self-employed,0,1
413,23,36032,635,47681,48,7.64,self-employed,0,0
414,52,22198,537,22607,48,10.84,employed,0,1
415,58,80500,680,25968,12,29.62,employed,1,1
416,54,73394,735,34398,60,25.3,self-employed,0,1
417,41,40079,782,12908,36,24.08,unemployed,0,0
418,46,56220,324,27423,48,17.05,employed,0,1
419,66,61874,416,44615,60,22.33,employed,0,1
420,63,33859,781,10171,36,14.24,employed,0,0
421,70,70460,691,13721,48,19.32,employed,0,0
422,48,51419,836,17616,36,28.79,self-employed,0,1
423,52,138865,378,43512,60,34.44,self-employed,0,1
424,50,28705,472,39458,24,32.97,employed,0,1
425,69,62880,311,47169,60,33.02,unemployed,0,1
426,38,149838,427,8659,12,17.07,employed,0,1
427,49,43236,391,44369,36,19.06,unemployed,0,1
428,40,107955,842,12704,24,26.17,employed,1,1
429,50,105514,831,33793,36,32.67,employed,0,1
430,20,123145,746,49152,36,9.26,employed,0,0
431,35,35358,689,47473,48,14.13,employed,0,0
432,42,119713,342,32226,12,9.18,employed,1,1
433,59,114914,553,24852,36,23.36,employed,0,1
434,48,122870,429,33082,60,14.19,employed,1,1
435,71,96918,359,23794,60,14.78,self-employed,0,1
436,20,139179,766,42420,48,7.13,employed,1,1
437,57,136243,586,14379,12,15.49,employed,1,1
438,63,34596,816,8006,12,30.87,employed,0,1
439,41,53572,766,9682,60,11.99,self-employed,0,0
440,67,98757,644,34840,24,25.86,employed,0,1
441,49,21279,681,33430,48,23.89,unemployed,0,0
442,64,83197,552,24091,48,30.9,self-employed,0,1
443,39,131496,355,33983,60,8.97,employed,0,1
444,40,82516,762,24989,60,34.33,employed,0,1
445,19,27083,756,10915,24,22.48,employed,0,0
446,44,140674,382,43552,24,34.86,employed,0,1
447,59,140307,398,19990,12,32.35,unemployed,0,1
448,19,146457,448,25734,48,11.65,unemployed,0,1
449,43,129397,628,15824,48,6.68,employed,1,1
450,34,37771,455,37081,60,12.67,employed,0,1
451,57,49975,489,12033,12,20.83,self-employed,0,1
452,50,65648,793,43736,48,10.15,employed,0,0
453,26,145641,562,17241,12,10.02,employed,0,1
454,60,68285,379,6939,12,18.88,employed,0,1
455,71,39063,699,48464,60,6.0,employed,0,0
456,65,87642,559,48562,12,8.66,self-employed,1,1
457,56,110093,400,36063,24,17.48,employed,0,1
458,46,134390,658,35464,24,6.89,employed,0,0
459,59,106143,679,12185,36,16.9,unemployed,1,1
460,72,57599,520,28045,60,19.22,employed,0,1
461,43,71920,719,45769,36,18.54,unemployed,1,1
462,52,48529,423,48118,24,31.08,employed,1,1
463,67,55954,721,20167,36,20.9,employed,0,0
464,42,47856,530,37412,60,19.04,unemployed,0,1
465,41,22573,362,22625,60,17.32,employed,0,1
466,30,98344,784,40188,12,29.53,employed,0,1
467,24,55367,782,28076,48,31.85,employed,0,1
468,74,122337,818,45605,12,30.6,employed,1,1
469,53,126732,454,20029,60,25.21,employed,0,1
470,62,119608,391,23973,24,9.12,unemployed,0,1
471,37,80774,825,40121,24,13.31,unemployed,0,0
472,18,43752,754,32433,12,6.38,unemployed,0,0
473,25,75029,809,44309,60,32.92,employed,0,1
474,63,37685,482,2932,24,24.82,employed,0,1
475,33,71693,685,45254,60,27.39,employed,0,1
476,31,136739,704,2757,24,14.35,unemployed,0,0
477,29,75961,545,31722,60,30.37,employed,0,1
478,68,126937,770,38853,36,12.79,employed,0,0
479,40,144956,722,39405,60,5.05,self-employed,0,0
480,32,96908,364,2116,60,16.29,employed,0,1
481,45,145537,312,44527,12,22.12,employed,0,1
482,51,146678,512,12691,36,19.36,unemployed,0,1
483,19,94532,541,1492,48,30.86,unemployed,0,1
484,49,101994,792,28882,12,8.16,employed,0,0
485,40,76133,512,9811,48,21.61,employed,0,1
486,39,117425,637,28808,24,20.39,unemployed,0,0
487,68,145055,472,25272,48,13.44,employed,0,1
488,42,81268,463,29399,60,29.67,employed,0,1
489,39,112201,764,7474,48,27.59,employed,0,1
490,39,58243,796,27956,12,26.99,employed,1,1
491,66,77384,694,48153,12,31.29,employed,0,1
492,69,51653,607,43506,48,26.68,employed,0,1
493,59,46657,482,14979,12,11.96,employed,0,1
494,23,59952,809,45523,12,26.17,employed,0,1
495,32,42180,845,43565,48,14.23,unemployed,1,1
496,71,117432,526,29328,36,12.27,self-employed,0,1
497,60,141829,735,48375,36,7.19,self-employed,1,1
498,54,148377,721,13867,24,27.32,employed,0,1
499,50,98411,320,26851,12,26.33,employed,0,1
500,25,21622,696,32279,48,12.03,employed,0,0
501,70,68756,404,31527,12,27.48,unemployed,0,1
502,61,60809,491,8866,60,32.54,employed,0,1
503,61,36725,316,16449,12,8.24,employed,0,1
504,22,81396,419,11685,12,11.98,self-employed,0,1
505,56,71226,692,24544,36,27.51,employed,0,1
506,21,126296,724,6451,48,13.24,employed,1,1
507,23,101182,428,22642,12,23.74,unemployed,0,1
508,62,102565,429,42316,36,7.43,unemployed,0,1
509,49,49402,328,40954,24,18.57,employed,0,1
510,69,24263,396,39870,36,27.17,unemployed,0,1
511,47,143489,309,32030,36,25.6,self-employed,0,1
512,64,116523,541,31873,36,29.45,self-employed,0,1
513,52,66828,531,1619,12,31.32,employed,1,1
514,72,140824,583,34650,12,28.2,employed,0,1
515,57,67924,499,26372,24,25.15,employed,0,1
516,69,94182,378,4642,60,5.95,unemployed,0,1
517,33,113065,472,29001,60,21.05,employed,0,1
518,30,79052,766,35064,60,6.13,employed,0,0
519,67,31664,715,30290,24,29.24,employed,0,1
520,59,55737,748,15122,60,14.62,self-employed,0,0
521,47,121332,386,25820,60,21.87,employed,1,1
522,36,109563,400,3895,36,13.38,employed,0,1
523,34,49373,307,6366,12,28.48,employed,0,1
524,73,137369,499,9711,12,31.6,employed,0,1
525,36,56397,804,20596,36,16.96,self-employed,0,0
526,45,148575,386,19793,36,30.89,self-employed,0,1
527,72,106145,342,9199,36,13.01,employed,0,1
528,43,121371,684,11717,12,21.04,employed,0,0
529,54,58709,734,37191,60,30.76,self-employed,1,1
530,43,136074,707,11211,36,14.78,employed,1,1
531,70,81120,782,46550,24,33.62,employed,0,1
532,40,39250,316,24360,36,8.66,unemployed,1,1
533,26,41172,447,22542,48,5.55,employed,0,1
534,29,31555,576,32312,36,32.12,unemployed,0,1
535,70,107410,531,46242,12,7.06,employed,1,1
536,18,98617,665,37435,36,34.76,employed,0,1
537,18,73276,527,29247,48,33.54,employed,0,1
538,64,77492,735,23357,24,9.11,unemployed,0,0
539,51,73002,698,42045,60,21.13,employed,0,0
540,49,140103,510,28691,36,10.55,employed,1,1
541,71,144938,690,13424,48,17.84,unemployed,0,0
